[2024-03-04 12:20:44.104]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible
[2024-03-04 12:20:44.114]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/install_plugins
[2024-03-04 12:20:44.134]	 Installing "tmux-sensible"
[2024-03-04 12:20:44.136]	 Already installed "tpm"
[2024-03-04 12:20:45.121]	   "tmux-sensible" download success
[2024-03-04 12:20:45.131]	 Done.

[2024-03-04 12:21:55.163]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible omerxx/tmux-sessionx
[2024-03-04 12:21:55.181]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/install_plugins
[2024-03-04 12:21:55.204]	 Installing "tmux-sessionx"
[2024-03-04 12:21:55.205]	 Already installed "tpm"
[2024-03-04 12:21:55.206]	 Already installed "tmux-sensible"
[2024-03-04 12:21:56.324]	   "tmux-sessionx" download success
[2024-03-04 12:21:56.338]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-03-04 12:21:56.353]	 Updating all plugins!
[2024-03-04 12:21:56.353]	 
[2024-03-04 12:21:57.073]	   "tmux-sensible" update success
[2024-03-04 12:21:57.076]	     | Already up to date.
[2024-03-04 12:21:57.077]	   "tmux-sessionx" update success
[2024-03-04 12:21:57.079]	     | Already up to date.
[2024-03-04 12:22:00.180]	   "tpm" update success
[2024-03-04 12:22:00.183]	     | Already up to date.
[2024-03-04 12:22:00.183]	     | Submodule 'lib/tmux-test' (https://github.com/tmux-plugins/tmux-test.git) registered for path 'lib/tmux-test'
[2024-03-04 12:22:00.183]	     | Cloning into '/home/chris/sirenv/tmux/plugins/tpm/lib/tmux-test'...
[2024-03-04 12:22:00.183]	     | From https://github.com/tmux-plugins/tmux-test
[2024-03-04 12:22:00.183]	     |  * branch            33fa65fbfb72ba6dd106c21bf5ee6cc353ecdbb6 -> FETCH_HEAD
[2024-03-04 12:22:00.183]	     | Submodule path 'lib/tmux-test': checked out '33fa65fbfb72ba6dd106c21bf5ee6cc353ecdbb6'
[2024-03-04 12:22:00.203]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-03-04 12:22:00.259]	 Done.

[2024-03-04 12:22:42.293]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible omerxx/tmux-sessionx
[2024-03-04 12:22:42.304]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/install_plugins
[2024-03-04 12:22:42.325]	 Already installed "tpm"
[2024-03-04 12:22:42.325]	 Already installed "tmux-sensible"
[2024-03-04 12:22:42.325]	 Already installed "tmux-sessionx"
[2024-03-04 12:22:42.336]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-03-04 12:22:42.532]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible omerxx/tmux-sessionx
[2024-03-04 12:22:42.545]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/install_plugins
[2024-03-04 12:22:42.564]	 Already installed "tpm"
[2024-03-04 12:22:42.564]	 Already installed "tmux-sensible"
[2024-03-04 12:22:42.564]	 Already installed "tmux-sessionx"
[2024-03-04 12:22:42.575]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-03-04 12:22:42.347]	 Updating all plugins!
[2024-03-04 12:22:42.347]	 
[2024-03-04 12:22:43.044]	   "tmux-sensible" update success
[2024-03-04 12:22:43.044]	   "tmux-sessionx" update success
[2024-03-04 12:22:43.045]	     | Already up to date.
[2024-03-04 12:22:43.045]	     | Already up to date.
[2024-03-04 12:22:43.050]	   "tpm" update success
[2024-03-04 12:22:43.051]	     | Already up to date.
[2024-03-04 12:22:43.063]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-03-04 12:22:43.093]	 Done.

[2024-03-04 12:22:42.586]	 Updating all plugins!
[2024-03-04 12:22:42.586]	 
[2024-03-04 12:22:43.254]	   "tmux-sessionx" update success
[2024-03-04 12:22:43.255]	     | Already up to date.
